Species;Name;Area 1;Area 2;Area 3;Area 4;Area 5;Area 6;Area 7;Area 8;Area 9;Area 10;Area 11;Area 12;Area 13;Area 14;Area 15;Area 16;Area 17;Area 18;Area 19;Area 20;Area 21;Area 22;Area 23;Area 24;Area 25;Area 26;Area 27;Area 28;Area 29;Area 30;Area 31;Area 32;Area 33;Area 34;Area 35;Area 36;Area 37;Area 38;Area 39;Area 40;Area 41;Area 42;Area 43;Area 44;Area 45;Area 46;Area 47;Area 48;Area 49;Area 50;Area 51;Area 52;Area 53;Area 54;Area 55;Area 56;Area 57;Area 58;Area 59;Area 60;Area 61;Area 62;Area 63;Area 64;Area 65;Area 66;Area 67;Area 68;Area 69;Area 70;Area 71;Area 72;Area 73;Area 74;Area 75;Area 76;Area 77;Area 78;Area 79;Area 80;Area 81;Area 82;Area 83;Area 84;Area 85;Area 86;Area 87;Area 88;Area 89;Area 90;Area 91;Area 92;Area 93;Area 94;Area 95;Area 96;Area 97;Area 98;Area 99;Area 100;Area 101;Area 102
Hogere plant;Erodium cicutarium - Reigersbek;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Festuca rubra - Rood zwenkgras;;8.0;2.0;;2.0;8.0;2.0;2.0;2.0;2.0;;;2.0;8.0;2.0;;;;;;2.0;2.0;;;8.0;2.0;2.0;1.0;;;;;;2.0;8.0;8.0;;;8.0;;;;;;;;;8.0;2.0;8.0;8.0;8.0;;;8.0;2.0;3.0;2.0;;8.0;2.0;2.0;2.0;;2.0;;2.0;3.0;8.0;3.0;;8.0;8.0;;8.0;2.0;;8.0;8.0;;;;;;;;;;;;;;;2.0;;;;;;2.0;0.0;
Hogere plant;Geranium pusillum - Kleine ooievaarsbek;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Lolium perenne - Engels raaigras;;2.0;;2.0;3.0;2.0;8.0;;;;3.0;;8.0;;2.0;;;;;;;8.0;;2.0;;;2.0;;;;;2.0;;;;;8.0;;;;;8.0;;8.0;8.0;8.0;8.0;8.0;;;;;2.0;2.0;2.0;;2.0;;;;;2.0;;1.0;;4.0;;2.0;8.0;;;8.0;;;4.0;3.0;;2.0;;;;;8.0;8.0;2.0;2.0;;;;;;2.0;1.0;;;;;;;;0.0;
Hogere plant;Myosotis species - Vergeet-mij-nietje (G);;2.0;;;;2.0;2.0;;;;;;;;2.0;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Phleum pratense - Gewoon timoteegras;;2.0;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;2.0;;;2.0;2.0;;2.0;;4.0;;2.0;;;;2.0;;;;;;;;;;8.0;;;2.0;2.0;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;0.0;
Hogere plant;Ranunculus sardous - Behaarde boterbloem;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;2.0;;;;;;;;;;;;;;;;;2.0;;3.0;;;2.0;;;;2.0;;;;;;;;;;2.0;1.0;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Rumex acetosa - Veldzuring;;2.0;8.0;2.0;;2.0;;2.0;2.0;8.0;;;;;;;;;;;1.0;2.0;;;;;;;;;;;;;;8.0;;;;;;2.0;;;3.0;;;;2.0;8.0;8.0;2.0;;;2.0;8.0;2.0;;;8.0;2.0;8.0;2.0;2.0;8.0;;2.0;;;2.0;2.0;2.0;;;8.0;;2.0;;;2.0;;;;;;1.0;;;;;;;;2.0;1.0;;1.0;1.0;;;0.0;
Hogere plant;Taraxacum species;;8.0;;2.0;;;;2.0;;2.0;2.0;;3.0;2.0;;;1.0;;;;;;;2.0;;;2.0;2.0;;;;2.0;;;;;;;;;;3.0;;8.0;3.0;3.0;8.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;2.0;;;;;;;;;2.0;;;;;;;0.0;
Hogere plant;Trifolium repens - Witte klaver;;2.0;2.0;2.0;;;8.0;3.0;2.0;;8.0;;8.0;;8.0;;;;;1.0;;;;2.0;;;2.0;;;;;;;;;;8.0;;;;;;;;;3.0;2.0;2.0;;;2.0;;8.0;;2.0;2.0;3.0;;;;2.0;8.0;2.0;3.0;;8.0;;4.0;2.0;;;;;;2.0;2.0;;8.0;;;;;8.0;8.0;;;;;;;;;;;;1.0;;;;;0.0;
Hogere plant;Veronica arvensis - Veldereprijs;;2.0;;2.0;;2.0;;;;;;;;;1.0;;;;;;;;;;2.0;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;2.0;2.0;2.0;;;;2.0;2.0;;2.0;2.0;;3.0;2.0;8.0;;;2.0;;;;2.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Vulpia myuros - Gewoon langbaardgras;;2.0;;8.0;2.0;2.0;2.0;2.0;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;8.0;;2.0;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Artemisia vulgaris - Bijvoet;;;2.0;2.0;2.0;2.0;;;;;;;;;;;;;;;;;;;2.0;;2.0;;;;1.0;;;;2.0;;2.0;;;;;;;;;;;8.0;;;;;;;2.0;2.0;2.0;;;;;;2.0;1.0;2.0;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Cardamine hirsuta - Kleine veldkers;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;2.0;;;;;;;;;0.0;
Hogere plant;Carex leersii - Bleke bermzegge;;;2.0;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.0;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Cirsium arvense - Akkerdistel;;;2.0;;;;;;;;1.0;;;;;;;;;;;;2.0;;2.0;;;;;;8.0;;;;2.0;;;8.0;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;1.0;;;;;;;;;;2.0;;;;2.0;2.0;2.0;;;;;;;2.0;;;;;;;;;;;;;0.0;
Hogere plant;Dactylis glomerata subsp. glomerata - Gewone kropaar;;;8.0;;2.0;;;;;2.0;;;2.0;;;;;;;;;2.0;;;2.0;;;1.0;;;8.0;8.0;;;;;;;;;;;;2.0;;2.0;2.0;1.0;8.0;2.0;;1.0;;4.0;;3.0;2.0;8.0;;;4.0;;;2.0;8.0;;2.0;;;2.0;;4.0;;;2.0;;;2.0;;2.0;;;;2.0;;;;;;;;;;2.0;;;;;;2.0;0.0;
Hogere plant;Daucus carota - Peen;;;2.0;2.0;2.0;8.0;;;2.0;;2.0;;2.0;;2.0;;;;;2.0;;2.0;;;3.0;2.0;8.0;2.0;;;;;1.0;;8.0;;;;;;;;;;;;;3.0;;2.0;2.0;;;;2.0;2.0;2.0;;;;;;2.0;8.0;3.0;;3.0;3.0;2.0;2.0;;3.0;2.0;;;;1.0;;2.0;1.0;3.0;2.0;;;1.0;;;;2.0;;;;;;;;;;;;0.0;
Hogere plant;Elymus repens - Kweek;;;2.0;2.0;1.0;;;;;;2.0;;;;1.0;;;;;;;;2.0;;;;;;;;8.0;;;;;;2.0;8.0;8.0;;;;;3.0;8.0;;;;;;8.0;3.0;;2.0;2.0;;8.0;8.0;;;;;2.0;2.0;2.0;;4.0;;;;;;;;;4.0;;;2.0;;;;2.0;;;;;3.0;2.0;;;2.0;2.0;2.0;;;;;;;0.0;
Hogere plant;Equisetum arvense - Heermoes;;;8.0;8.0;8.0;;2.0;;;8.0;8.0;;;8.0;8.0;;2.0;;2.0;;;;;;2.0;;;1.0;;2.0;2.0;2.0;8.0;;3.0;;;;8.0;8.0;;;;;;;;;8.0;;2.0;2.0;;;2.0;2.0;2.0;;;;8.0;;8.0;2.0;2.0;;;;3.0;;;2.0;8.0;2.0;;3.0;3.0;;2.0;;2.0;3.0;;;;;;;8.0;;8.0;;2.0;2.0;2.0;2.0;3.0;2.0;;;0.0;
Hogere plant;Galium mollugo subsp. erectum - Glad walstro;;;2.0;;2.0;2.0;;;;2.0;;;;;;;;;;;;2.0;;;2.0;;2.0;;;;;;;;;;;;2.0;;;;;;;;;;8.0;1.0;;2.0;;;2.0;3.0;2.0;;;;3.0;;;2.0;;;;2.0;;;;2.0;;;4.0;;;;;;;;;;2.0;;;;;;2.0;;;;;;;;;;0.0;
Hogere plant;Juncus bufonius - Greppelrus;;;2.0;;;;;;;;;;2.0;;2.0;;;;;;;;;;;;;;;;;;;;;;8.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;;;;;;;;;;;2.0;;;;;;2.0;2.0;;;;;;;;;0.0;
Hogere plant;Luzula campestris - Gewone veldbies;;;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;;;3.0;3.0;;;;;;;;;3.0;;;;;4.0;3.0;2.0;2.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
Hogere plant;Malus species;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;
